SCHOOL_DISTRICT,SCHOOL_NAME,SYS_SCH,2014,2015,2016,2017
DeKalb County,Midvale Elementary School,DeKalb County – Midvale Elementary School,69,81,32,32
DeKalb County,Cary Reynolds Elementary School,DeKalb County – Cary Reynolds Elementary School,16,114,72,
DeKalb County,Stone Mountain Elementary School,DeKalb County – Stone Mountain Elementary School,117,406,214,216
DeKalb County,Canby Lane Elementary School,DeKalb County – Canby Lane Elementary School,28,45,67,59
DeKalb County,Chesnut Elementary School,DeKalb County – Chesnut Elementary School,15,,,25
DeKalb County,Dunaire Elementary School,DeKalb County – Dunaire Elementary School,204,449,421,111
DeKalb County,Flat Shoals Elementary School,DeKalb County – Flat Shoals Elementary School,24,,16,129
DeKalb County,Hambrick Elementary School,DeKalb County – Hambrick Elementary School,80,71,42,30
DeKalb County,Lakeside High School,DeKalb County – Lakeside High School,675,1167,1174,1092
DeKalb County,Meadowview Elementary School,DeKalb County – Meadowview Elementary School,123,176,57,
DeKalb County,Pleasantdale Elementary School,DeKalb County – Pleasantdale Elementary School,52,43,44,24
DeKalb County,Rock Chapel Elementary School,DeKalb County – Rock Chapel Elementary School,98,104,126,36
DeKalb County,Smoke Rise Elementary School,DeKalb County – Smoke Rise Elementary School,36,,17,
DeKalb County,Toney Elementary School,DeKalb County – Toney Elementary School,51,176,85,186
DeKalb County,McNair High School,DeKalb County – McNair High School,2159,2525,1568,538
DeKalb County,Briar Vista Elementary School,DeKalb County – Briar Vista Elementary School,18,23,17,
DeKalb County,Murphy Candler Elementary School,DeKalb County – Murphy Candler Elementary School,36,47,96,219
DeKalb County,Clarkston High School,DeKalb County – Clarkston High School,944,874,471,464
DeKalb County,Cross Keys High School,DeKalb County – Cross Keys High School,1162,956,1133,256
DeKalb County,Hightower Elementary School,DeKalb County – Hightower Elementary School,108,142,102,79
DeKalb County,Kelley Lake Elementary School,DeKalb County – Kelley Lake Elementary School,60,72,47,27
DeKalb County,Montclair Elementary School,DeKalb County – Montclair Elementary School,28,55,20,
DeKalb County,Rainbow Elementary School,DeKalb County – Rainbow Elementary School,53,155,46,36
DeKalb County,Rowland Elementary School,DeKalb County – Rowland Elementary School,143,71,34,26
DeKalb County,Snapfinger Elementary School,DeKalb County – Snapfinger Elementary School,44,200,80,43
DeKalb County,Stoneview Elementary School,DeKalb County – Stoneview Elementary School,19,385,394,94
DeKalb County,Towers High School,DeKalb County – Towers High School,1088,1068,1069,764
DeKalb County,Avondale Elementary School,DeKalb County – Avondale Elementary School,115,53,304,141
DeKalb County,Chamblee Charter High School,DeKalb County – Chamblee Charter High School,590,595,322,494
DeKalb County,Clifton Elementary School,DeKalb County – Clifton Elementary School,108,94,30,
DeKalb County,Dunwoody High School,DeKalb County – Dunwoody High School,463,580,514,342
DeKalb County,Hawthorne Elementary School,DeKalb County – Hawthorne Elementary School,11,10,,
DeKalb County,Redan Elementary School,DeKalb County – Redan Elementary School,119,328,190,67
DeKalb County,Southwest DeKalb High School,DeKalb County – Southwest DeKalb High School,887,796,662,517
Dodge County,Dodge County High School,Dodge County – Dodge County High School,212,278,158,157
Dodge County,Dodge County Middle School,Dodge County – Dodge County Middle School,687,616,608,453
Dodge County,South Dodge Elementary School,Dodge County – South Dodge Elementary School,348,393,551,145
Dodge County,North Dodge Elementary School,Dodge County – North Dodge Elementary School,496,501,438,205
Dooly County,Dooly County Elementary School,Dooly County – Dooly County Elementary School,392,940,663,1014
Dooly County,Dooly County High School,Dooly County – Dooly County High School,467,543,825,439
Dooly County,Dooly County Middle School,Dooly County – Dooly County Middle School,925,618,324,562
Dougherty County,Albany Middle School,Dougherty County – Albany Middle School,713,397,307,296
Dougherty County,Live Oak Elementary School,Dougherty County – Live Oak Elementary School,113,192,111,82
Dougherty County,Robert A. Cross Middle Magnet,Dougherty County – Robert A. Cross Middle Magnet,34,11,39,
Dougherty County,Radium Springs Middle School,Dougherty County – Radium Springs Middle School,747,515,341,118
Dougherty County,Lamar Reese School of the Arts,Dougherty County – Lamar Reese School of the Arts,14,40,109,
Dougherty County,Alice Coachman Elementary School,Dougherty County – Alice Coachman Elementary School,34,70,92,63
Dougherty County,"Martin Luther King, Jr. Elementary School","Dougherty County – Martin Luther King, Jr. Elementary School",186,92,258,137
Dougherty County,Albany High School,Dougherty County – Albany High School,910,509,881,832
Dougherty County,Monroe High School,Dougherty County – Monroe High School,639,525,435,367
Dougherty County,Dougherty Comprehensive High School,Dougherty County – Dougherty Comprehensive High School,1566,634,1173,673
Dougherty County,Morningside Elementary School,Dougherty County – Morningside Elementary School,130,64,102,128
Dougherty County,Northside Elementary School,Dougherty County – Northside Elementary School,222,153,167,203
Dougherty County,Turner Elementary School,Dougherty County – Turner Elementary School,238,68,95,50
Dougherty County,Lake Park Elementary School,Dougherty County – Lake Park Elementary School,49,36,65,118
Dougherty County,Merry Acres Middle School,Dougherty County – Merry Acres Middle School,462,815,885,454
Dougherty County,Sherwood Acres Elementary School,Dougherty County – Sherwood Acres Elementary School,31,,48,84
Dougherty County,Westover High School,Dougherty County – Westover High School,727,282,616,350
Dougherty County,International Studies Elementary Charter School,Dougherty County – International Studies Elementary Charter School,33,,61,145
Dougherty County,Radium Springs Elementary School,Dougherty County – Radium Springs Elementary School,58,31,146,134
Dougherty County,Southside Middle School,Dougherty County – Southside Middle School,940,710,1397,396
Dougherty County,West Town Elementary School,Dougherty County – West Town Elementary School,19,111,44,47
Douglas County,Chapel Hill High School,Douglas County – Chapel Hill High School,751,774,901,967
Douglas County,Yeager Middle School,Douglas County – Yeager Middle School,513,502,612,416
Douglas County,North Douglas Elementary School,Douglas County – North Douglas Elementary School,261,154,128,456
Douglas County,Bill Arp Elementary School,Douglas County – Bill Arp Elementary School,64,65,41,41
Douglas County,Factory Shoals Middle School,Douglas County – Factory Shoals Middle School,962,940,943,690
Douglas County,Mason Creek Elementary School,Douglas County – Mason Creek Elementary School,46,52,112,96
Douglas County,Mason Creek Middle School,Douglas County – Mason Creek Middle School,646,504,618,462
Douglas County,Lithia Springs Comprehensive High School,Douglas County – Lithia Springs Comprehensive High School,2461,2645,2318,2372
Douglas County,Arbor Station Elementary School,Douglas County – Arbor Station Elementary School,63,39,68,68
Douglas County,Fairplay Middle School,Douglas County – Fairplay Middle School,181,195,250,367
Douglas County,Dorsett Shoals Elementary School,Douglas County – Dorsett Shoals Elementary School,49,48,34,25
Douglas County,Alexander High School,Douglas County – Alexander High School,357,483,468,445
Douglas County,Chestnut Log Middle School,Douglas County – Chestnut Log Middle School,776,805,747,830
Douglas County,Bright Star Elementary School,Douglas County – Bright Star Elementary School,49,72,110,219
Douglas County,Holly Springs Elementary,Douglas County – Holly Springs Elementary,58,42,35,19
Douglas County,New Manchester Elementary School,Douglas County – New Manchester Elementary School,563,264,56,252
Douglas County,Chapel Hill Elementary School,Douglas County – Chapel Hill Elementary School,114,135,81,41
Douglas County,New Manchester High School,Douglas County – New Manchester High School,1870,2223,2183,855
Douglas County,Factory Shoals Elementary School,Douglas County – Factory Shoals Elementary School,456,93,118,185
Douglas County,Sweetwater Elementary School,Douglas County – Sweetwater Elementary School,138,79,57,113
Douglas County,Mirror Lake Elementary School,Douglas County – Mirror Lake Elementary School,87,89,44,29
Douglas County,Burnett Elementary School,Douglas County – Burnett Elementary School,210,367,266,270
Douglas County,Eastside Elementary School,Douglas County – Eastside Elementary School,142,157,137,205
Douglas County,Winston Elementary School,Douglas County – Winston Elementary School,25,27,15,30
Douglas County,Beulah Elementary School,Douglas County – Beulah Elementary School,89,,,
Douglas County,Turner Middle School,Douglas County – Turner Middle School,243,279,343,448
Douglas County,Lithia Springs Elementary School,Douglas County – Lithia Springs Elementary School,57,20,22,48
Douglas County,Chapel Hill Middle School,Douglas County – Chapel Hill Middle School,1350,1358,1539,1819
Douglas County,Douglas County High School,Douglas County – Douglas County High School,2063,1740,1465,1705
Douglas County,Mount Carmel Elementary School,Douglas County – Mount Carmel Elementary School,147,132,232,323
Douglas County,Stewart Middle School,Douglas County – Stewart Middle School,473,578,609,517
Douglas County,Annette Winn Elementary School,Douglas County – Annette Winn Elementary School,72,134,70,66
Early County,Early County Elementary School,Early County – Early County Elementary School,577,427,443,531
Early County,Early County Middle School,Early County – Early County Middle School,266,246,332,341
Early County,Early County High School,Early County – Early County High School,415,357,546,371
Echols County,Echols County Elementary/Middle School,Echols County – Echols County Elementary/Middle School,160,166,181,169
Echols County,Echols County High School,Echols County – Echols County High School,117,49,63,75
Effingham County,Springfield Elementary School,Effingham County – Springfield Elementary School,191,81,91,134
Effingham County,Marlow Elementary School,Effingham County – Marlow Elementary School,159,164,139,75
Effingham County,Blandford Elementary School,Effingham County – Blandford Elementary School,80,66,299,135
Effingham County,South Effingham Elementary School,Effingham County – South Effingham Elementary School,51,,,
Effingham County,Guyton Elementary School,Effingham County – Guyton Elementary School,129,121,82,62
Effingham County,Sand Hill Elementary School,Effingham County – Sand Hill Elementary School,52,36,38,37
Effingham County,South Effingham High School,Effingham County – South Effingham High School,776,867,670,806
Effingham County,Ebenezer Middle School,Effingham County – Ebenezer Middle School,490,546,632,658
Effingham County,Effingham County Middle School,Effingham County – Effingham County Middle School,613,738,968,925
Effingham County,Ebenezer Elementary School,Effingham County – Ebenezer Elementary School,40,14,,19
Effingham County,South Effingham Middle School,Effingham County – South Effingham Middle School,521,468,524,501
Effingham County,Effingham County High School,Effingham County – Effingham County High School,2019,1697,1876,1451
Effingham County,Rincon Elementary School,Effingham County – Rincon Elementary School,105,171,92,96
Elbert County,Elbert County Middle School,Elbert County – Elbert County Middle School,707,438,633,454
Elbert County,Elberton Education Center,Elbert County – Elberton Education Center,75,78,34,
Elbert County,Elbert County High School,Elbert County – Elbert County High School,388,561,316,507
Elbert County,Elbert County Primary School,Elbert County – Elbert County Primary School,87,76,79,248
Elbert County,Elbert County Elementary School,Elbert County – Elbert County Elementary School,149,114,210,262
Emanuel County,Twin City Elementary School,Emanuel County – Twin City Elementary School,30,31,24,53
Emanuel County,Swainsboro High School,Emanuel County – Swainsboro High School,755,558,628,634
Emanuel County,Swainsboro Middle School,Emanuel County – Swainsboro Middle School,947,916,738,897
Emanuel County,Swainsboro Primary School,Emanuel County – Swainsboro Primary School,143,54,179,135
Emanuel County,Swainsboro Elementary School,Emanuel County – Swainsboro Elementary School,335,387,186,132
Emanuel County,Adrian School of Performing Arts,Emanuel County – Adrian School of Performing Arts,25,,,
Emanuel County,Emanuel County Institute,Emanuel County – Emanuel County Institute,204,149,337,329
Evans County,Claxton Elementary School,Evans County – Claxton Elementary School,106,155,115,122
Evans County,Claxton High School,Evans County – Claxton High School,85,152,173,117
Evans County,Claxton Middle School,Evans County – Claxton Middle School,93,110,113,65
Fannin County,Fannin County High School,Fannin County – Fannin County High School,347,305,376,429
Fannin County,Fannin County Middle School,Fannin County – Fannin County Middle School,285,199,265,249
Fannin County,East Fannin Elementary School,Fannin County – East Fannin Elementary School,60,47,78,65
Fannin County,West Fannin Elementary School,Fannin County – West Fannin Elementary School,73,94,99,63
Fayette County,Cleveland Elementary School,Fayette County – Cleveland Elementary School,20,28,83,75
Fayette County,Sara Harp Minter Elementary School,Fayette County – Sara Harp Minter Elementary School,15,17,45,72
Fayette County,Whitewater High School,Fayette County – Whitewater High School,252,234,228,327
Fayette County,Bennett's Mill Middle School,Fayette County – Bennett's Mill Middle School,467,373,456,414
Fayette County,Inman Elementary,Fayette County – Inman Elementary,41,54,28,48
Fayette County,Booth Middle School,Fayette County – Booth Middle School,216,206,224,212
Fayette County,Huddleston Elementary School,Fayette County – Huddleston Elementary School,43,17,23,44
Fayette County,North Fayette Elementary School,Fayette County – North Fayette Elementary School,78,54,176,117
Fayette County,McIntosh High School,Fayette County – McIntosh High School,267,226,222,257
Fayette County,Oak Grove Elementary School,Fayette County – Oak Grove Elementary School,31,38,26,27
Fayette County,Sandy Creek High School,Fayette County – Sandy Creek High School,537,388,534,437
Fayette County,Starrs Mill High School,Fayette County – Starrs Mill High School,212,198,136,185
Fayette County,Robert J. Burch Elementary School,Fayette County – Robert J. Burch Elementary School,53,69,64,65
Fayette County,Spring Hill Elementary School,Fayette County – Spring Hill Elementary School,68,67,57,44
Fayette County,Rising Starr Middle School,Fayette County – Rising Starr Middle School,143,176,165,176
Fayette County,Whitewater Middle School,Fayette County – Whitewater Middle School,232,260,173,213
Fayette County,Fayette County High School,Fayette County – Fayette County High School,527,522,768,538
Fayette County,Hood Avenue Primary School,Fayette County – Hood Avenue Primary School,28,66,47,48
Fayette County,Flat Rock Middle School,Fayette County – Flat Rock Middle School,411,431,338,404
Floyd County,Coosa Middle School,Floyd County – Coosa Middle School,150,279,338,301
Floyd County,Pepperell High School,Floyd County – Pepperell High School,308,345,253,160
Floyd County,Model High,Floyd County – Model High,178,172,171,148
Floyd County,McHenry Primary,Floyd County – McHenry Primary,20,,,
Floyd County,Model Elementary School,Floyd County – Model Elementary School,49,43,20,24
Floyd County,Pepperell Elementary,Floyd County – Pepperell Elementary,64,109,142,148
Floyd County,Model Middle School,Floyd County – Model Middle School,55,79,115,137
Floyd County,Pepperell Middle School,Floyd County – Pepperell Middle School,201,293,305,239
Floyd County,Armuchee Middle School,Floyd County – Armuchee Middle School,46,151,136,93
Floyd County,Armuchee High School,Floyd County – Armuchee High School,154,62,90,75
Floyd County,Alto Park Elementary School,Floyd County – Alto Park Elementary School,25,,,40
Floyd County,Garden Lakes Elementary School,Floyd County – Garden Lakes Elementary School,70,33,55,
Floyd County,Pepperell Primary,Floyd County – Pepperell Primary,30,11,,39
Floyd County,Coosa High School,Floyd County – Coosa High School,204,274,249,249
Forsyth County,Settles Bridge Elementary School,Forsyth County – Settles Bridge Elementary School,27,,,
Forsyth County,Sharon Elementary School,Forsyth County – Sharon Elementary School,12,23,49,71
Forsyth County,Riverwatch Middle School,Forsyth County – Riverwatch Middle School,56,79,122,129
Forsyth County,West Forsyth High School,Forsyth County – West Forsyth High School,494,259,263,254
Forsyth County,South Forsyth High School,Forsyth County – South Forsyth High School,288,189,162,223
Forsyth County,Chattahoochee Elementary School,Forsyth County – Chattahoochee Elementary School,31,32,69,30
Forsyth County,North Forsyth High School,Forsyth County – North Forsyth High School,1249,751,695,710
Forsyth County,Daves Creek Elementary School,Forsyth County – Daves Creek Elementary School,14,22,,16
Forsyth County,Vickery Creek Middle School,Forsyth County – Vickery Creek Middle School,202,166,77,116
Forsyth County,Otwell Middle School,Forsyth County – Otwell Middle School,173,194,180,274
Forsyth County,Sawnee Elementary School,Forsyth County – Sawnee Elementary School,41,,104,54
Forsyth County,Chestatee Elementary,Forsyth County – Chestatee Elementary,64,43,67,118
Forsyth County,Little Mill Middle School,Forsyth County – Little Mill Middle School,295,222,316,397
Forsyth County,George W. Whitlow Elementary,Forsyth County – George W. Whitlow Elementary,34,,76,54
Forsyth County,Lambert High School,Forsyth County – Lambert High School,161,193,162,193
Forsyth County,Lakeside Middle School,Forsyth County – Lakeside Middle School,69,45,71,153
Forsyth County,Liberty Middle School,Forsyth County – Liberty Middle School,146,127,178,185
Forsyth County,Silver City Elementary School,Forsyth County – Silver City Elementary School,19,70,65,102
Forsyth County,Piney Grove Middle School,Forsyth County – Piney Grove Middle School,47,40,78,34
Forsyth County,North Forsyth Middle School,Forsyth County – North Forsyth Middle School,180,245,196,160
Forsyth County,South Forsyth Middle School,Forsyth County – South Forsyth Middle School,154,104,90,113
Forsyth County,Big Creek Elementary School,Forsyth County – Big Creek Elementary School,12,33,,
Forsyth County,Forsyth Central High School,Forsyth County – Forsyth Central High School,384,382,532,437
Franklin County,Franklin County Middle School,Franklin County – Franklin County Middle School,139,135,185,193
Franklin County,Royston Elementary School,Franklin County – Royston Elementary School,157,22,,13
Franklin County,Franklin County High School,Franklin County – Franklin County High School,172,126,182,150
Fulton County,Summit Hill Elementary,Fulton County – Summit Hill Elementary,48,30,45,37
Fulton County,Abbotts Hill Elementary School,Fulton County – Abbotts Hill Elementary School,31,48,41,54
Fulton County,Creek View Elementary School,Fulton County – Creek View Elementary School,61,52,57,16
Fulton County,Spalding Drive Elementary,Fulton County – Spalding Drive Elementary,40,18,26,34
Fulton County,Hopewell Middle School,Fulton County – Hopewell Middle School,232,166,202,161
Fulton County,Milton High School,Fulton County – Milton High School,250,310,340,258
Fulton County,Renaissance Middle School,Fulton County – Renaissance Middle School,1084,823,635,524
Fulton County,Renaissance ES,Fulton County – Renaissance ES,64,49,58,134
Fulton County,Feldwood Elementary School,Fulton County – Feldwood Elementary School,294,242,66,63
Fulton County,Main Street Charter Academy Middle,Fulton County – Main Street Charter Academy Middle,16,,,
Fulton County,Hapeville Charter Career Academy,Fulton County – Hapeville Charter Career Academy,52,26,43,55
Fulton County,Cambridge High School,Fulton County – Cambridge High School,88,91,87,87
Fulton County,Jackson Elementary School,Fulton County – Jackson Elementary School,71,51,65,93
Fulton County,Banneker High School,Fulton County – Banneker High School,1012,700,897,655
Fulton County,Dolvin Elementary School,Fulton County – Dolvin Elementary School,53,22,26,37
Fulton County,Crabapple Middle School,Fulton County – Crabapple Middle School,111,101,121,220
Fulton County,Camp Creek Middle School,Fulton County – Camp Creek Middle School,336,224,493,368
Fulton County,Barnwell Elementary School,Fulton County – Barnwell Elementary School,82,63,21,104
Fulton County,McNair Middle School,Fulton County – McNair Middle School,824,768,726,1159
Fulton County,Lake Windward Elementary School,Fulton County – Lake Windward Elementary School,62,60,54,48
Fulton County,Roswell High School,Fulton County – Roswell High School,409,408,440,656
Fulton County,Hapeville Elementary School,Fulton County – Hapeville Elementary School,40,42,111,83
Fulton County,New Prospect Elementary School,Fulton County – New Prospect Elementary School,82,,,38
Fulton County,Northwood Elementary School,Fulton County – Northwood Elementary School,34,61,55,73
Fulton County,Centennial High School,Fulton County – Centennial High School,439,425,640,429
Fulton County,Stonewall Tell Elementary School,Fulton County – Stonewall Tell Elementary School,41,64,182,108
Fulton County,Hillside Elementary School,Fulton County – Hillside Elementary School,27,34,46,29
Fulton County,Northview High School,Fulton County – Northview High School,193,242,257,244
Fulton County,KIPP South Fulton Academy School,Fulton County – KIPP South Fulton Academy School,161,97,164,178
Fulton County,Alpharetta High School,Fulton County – Alpharetta High School,409,281,246,195
Fulton County,Oakley Elementary School,Fulton County – Oakley Elementary School,29,130,142,141
Fulton County,Dunwoody Springs Elementary School,Fulton County – Dunwoody Springs Elementary School,104,67,15,
Fulton County,S. L. Lewis Elementary School,Fulton County – S. L. Lewis Elementary School,61,34,52,170
Fulton County,Nolan Elementary School,Fulton County – Nolan Elementary School,147,166,99,37
Fulton County,Gullatt Elementary School,Fulton County – Gullatt Elementary School,49,134,102,49
Fulton County,Holcomb Bridge Middle School,Fulton County – Holcomb Bridge Middle School,257,424,350,293
Fulton County,Ridgeview Charter School,Fulton County – Ridgeview Charter School,491,444,357,262
Fulton County,Woodland Middle School,Fulton County – Woodland Middle School,1352,1166,1957,1007
Fulton County,Tubman Elementary School,Fulton County – Tubman Elementary School,231,257,,
Fulton County,Creekside High School,Fulton County – Creekside High School,2078,1345,1254,903
Fulton County,Palmetto Elementary School,Fulton County – Palmetto Elementary School,71,104,175,114
Fulton County,Findley Oaks Elementary School,Fulton County – Findley Oaks Elementary School,59,79,,23
Fulton County,State Bridge Crossing Elementary School,Fulton County – State Bridge Crossing Elementary School,30,105,53,100
Fulton County,Manning Oaks Elementary School,Fulton County – Manning Oaks Elementary School,126,138,165,137
Fulton County,Heritage Elementary School,Fulton County – Heritage Elementary School,306,186,466,338
Fulton County,Elkins Pointe Middle School,Fulton County – Elkins Pointe Middle School,379,431,398,408
Fulton County,Cogburn Woods Elementary School,Fulton County – Cogburn Woods Elementary School,87,98,100,113
Fulton County,Autrey Mill Middle School,Fulton County – Autrey Mill Middle School,67,115,289,121
Fulton County,Mountain Park Elementary School,Fulton County – Mountain Park Elementary School,16,64,69,22
Fulton County,McClarin Alternative School,Fulton County – McClarin Alternative School,63,48,52,
Fulton County,Haynes Bridge Middle School,Fulton County – Haynes Bridge Middle School,204,369,337,290
Fulton County,Independence Alternative School,Fulton County – Independence Alternative School,164,81,122,70
Fulton County,Randolph Elementary School,Fulton County – Randolph Elementary School,102,144,198,162
Fulton County,Bear Creek Middle School,Fulton County – Bear Creek Middle School,1120,889,516,559
Fulton County,Chattahoochee High School,Fulton County – Chattahoochee High School,321,420,302,317
Fulton County,River Eves Elementary School,Fulton County – River Eves Elementary School,109,84,59,34
Fulton County,River Trail Middle School,Fulton County – River Trail Middle School,70,90,116,154
Fulton County,Amana Academy School,Fulton County – Amana Academy School,30,136,146,184
Fulton County,Medlock Bridge Elementary School,Fulton County – Medlock Bridge Elementary School,37,32,32,59
Fulton County,Webb Bridge Middle School,Fulton County – Webb Bridge Middle School,66,103,112,122
Fulton County,Hamilton E. Holmes Elementary,Fulton County – Hamilton E. Holmes Elementary,235,246,282,288
Fulton County,Liberty Point Elementary School,Fulton County – Liberty Point Elementary School,255,284,126,37
Fulton County,Sandtown Middle School,Fulton County – Sandtown Middle School,1040,779,576,552
Fulton County,Fulton Science Academy High School,Fulton County – Fulton Science Academy High School,39,80,,
Fulton County,Taylor Road Middle School,Fulton County – Taylor Road Middle School,256,206,113,275
Fulton County,Northwestern Middle School,Fulton County – Northwestern Middle School,96,149,129,202
Fulton County,Sandy Springs Middle School,Fulton County – Sandy Springs Middle School,161,136,149,185
Fulton County,Hapeville Charter Middle School,Fulton County – Hapeville Charter Middle School,269,347,237,258
Fulton County,Tri-Cities High School,Fulton County – Tri-Cities High School,890,649,657,549
Fulton County,Ocee Elementary School,Fulton County – Ocee Elementary School,66,37,49,35
Fulton County,Woodland Elementary School,Fulton County – Woodland Elementary School,152,32,160,46
Fulton County,Paul D. West Middle School,Fulton County – Paul D. West Middle School,370,403,626,1178
Fulton County,Lake Forest Elementary,Fulton County – Lake Forest Elementary,64,41,61,60
Fulton County,Johns Creek High School,Fulton County – Johns Creek High School,111,38,66,58
Fulton County,Cliftondale Elementary School,Fulton County – Cliftondale Elementary School,230,112,168,131
Fulton County,Oak Knoll Elementary School,Fulton County – Oak Knoll Elementary School,145,100,,
Fulton County,Roswell North Elementary School,Fulton County – Roswell North Elementary School,110,55,130,143
Fulton County,Langston Hughes High School,Fulton County – Langston Hughes High School,1094,1198,857,1007
Fulton County,Ison Springs Elementary School,Fulton County – Ison Springs Elementary School,30,55,70,47
Fulton County,Bethune Elementary School,Fulton County – Bethune Elementary School,106,171,388,296
Fulton County,Campbell Elementary School,Fulton County – Campbell Elementary School,239,221,486,443
Fulton County,Brookview Elementary School,Fulton County – Brookview Elementary School,35,146,251,204
Fulton County,Heards Ferry Elementary School,Fulton County – Heards Ferry Elementary School,38,23,24,
Fulton County,Lee Elementary School,Fulton County – Lee Elementary School,225,97,90,148
Fulton County,Parklane Elementary School,Fulton County – Parklane Elementary School,137,111,44,115
Fulton County,Riverwood International Charter School,Fulton County – Riverwood International Charter School,858,661,623,539
Fulton County,High Point Elementary School,Fulton County – High Point Elementary School,36,52,68,47
Fulton County,Mimosa Elementary School,Fulton County – Mimosa Elementary School,287,142,177,132
Fulton County,North Springs High School,Fulton County – North Springs High School,752,531,450,659
Fulton County,E. C. West Elementary School,Fulton County – E. C. West Elementary School,85,140,111,134
Fulton County,Conley Hills Elementary School,Fulton County – Conley Hills Elementary School,75,89,120,149
Fulton County,Mount Olive Elementary School,Fulton County – Mount Olive Elementary School,397,598,366,160
Fulton County,Westlake High School,Fulton County – Westlake High School,1133,1137,731,576
Gilmer County,Clear Creek Middle School,Gilmer County – Clear Creek Middle School,274,302,238,134
Gilmer County,Gilmer Middle school,Gilmer County – Gilmer Middle school,157,96,125,49
Gilmer County,Ellijay Primary School,Gilmer County – Ellijay Primary School,73,80,38,23
Gilmer County,Gilmer High School,Gilmer County – Gilmer High School,564,426,194,379
Gilmer County,Ellijay Elementary School,Gilmer County – Ellijay Elementary School,45,58,53,14
Glascock County,Glascock County Consolidated School,Glascock County – Glascock County Consolidated School,463,536,581,385
Glynn County,Sterling Elementary School,Glynn County – Sterling Elementary School,199,211,229,162
Glynn County,Glynn Middle,Glynn County – Glynn Middle,824,775,739,516
Glynn County,Jane Macon Middle,Glynn County – Jane Macon Middle,753,654,905,723
Glynn County,Risley Middle School,Glynn County – Risley Middle School,716,630,691,531
Glynn County,Glyndale Elementary School,Glynn County – Glyndale Elementary School,152,161,287,236
Glynn County,Golden Isles Elementary School,Glynn County – Golden Isles Elementary School,205,215,182,84
Glynn County,Oglethorpe Point Elementary School,Glynn County – Oglethorpe Point Elementary School,58,49,34,43
Glynn County,Satilla Marsh Elementary School,Glynn County – Satilla Marsh Elementary School,64,81,72,43
Glynn County,Needwood Middle School,Glynn County – Needwood Middle School,1075,918,775,525
Glynn County,Greer Elementary School,Glynn County – Greer Elementary School,89,68,120,67
Glynn County,Altama Elementary School,Glynn County – Altama Elementary School,157,183,237,185
Glynn County,St. Simons Elementary School,Glynn County – St. Simons Elementary School,117,142,117,59
Glynn County,Brunswick High School,Glynn County – Brunswick High School,2081,2153,2694,1494
Glynn County,Burroughs-Molette Elementary School,Glynn County – Burroughs-Molette Elementary School,320,271,303,387
Glynn County,Glynn Academy,Glynn County – Glynn Academy,1013,1096,1995,1103
Glynn County,Goodyear Elementary School,Glynn County – Goodyear Elementary School,438,318,503,252
Gordon County,Sonoraville High School,Gordon County – Sonoraville High School,1007,931,926,1162
Gordon County,Sonoraville Elementary,Gordon County – Sonoraville Elementary,39,44,42,70
Gordon County,Red Bud Middle School,Gordon County – Red Bud Middle School,73,123,225,184
Gordon County,Tolbert Elementary School,Gordon County – Tolbert Elementary School,151,87,105,94
Gordon County,Red Bud Elementary School,Gordon County – Red Bud Elementary School,74,38,,
Gordon County,Sonoraville East Middle School,Gordon County – Sonoraville East Middle School,70,233,311,352
Gordon County,Swain Elementary School,Gordon County – Swain Elementary School,19,,,41
Gordon County,Gordon Central High School,Gordon County – Gordon Central High School,550,430,343,351
Gordon County,Ashworth Middle School,Gordon County – Ashworth Middle School,488,409,319,230
Gordon County,Belwood Elementary School,Gordon County – Belwood Elementary School,71,42,63,46
Gordon County,Fairmount Elementary School,Gordon County – Fairmount Elementary School,123,64,56,85
Grady County,Washington Middle School,Grady County – Washington Middle School,1342,1179,904,794
Grady County,Eastside Elementary School,Grady County – Eastside Elementary School,334,270,171,66
Grady County,Cairo High School,Grady County – Cairo High School,1031,933,620,700
Grady County,Whigham Elementary School,Grady County – Whigham Elementary School,237,257,217,225
Grady County,Northside Elementary School,Grady County – Northside Elementary School,176,181,117,94
Grady County,Southside Elementary School,Grady County – Southside Elementary School,217,369,298,173
Grady County,Shiver Elementary School,Grady County – Shiver Elementary School,287,298,178,365
Greene County,Anita White Carson Middle School,Greene County – Anita White Carson Middle School,292,221,294,243
Greene County,Union Point Elementary,Greene County – Union Point Elementary,289,98,151,39
Greene County,Greensboro Elementary,Greene County – Greensboro Elementary,242,113,141,256
Greene County,Greene County High School,Greene County – Greene County High School,286,132,129,30
Gwinnett County,Rock Springs Elementary School,Gwinnett County – Rock Springs Elementary School,25,66,55,38
Gwinnett County,Grayson High School,Gwinnett County – Grayson High School,868,1038,1266,1102
Gwinnett County,Norcross High School,Gwinnett County – Norcross High School,3059,2380,2483,2989
Gwinnett County,Mill Creek High School,Gwinnett County – Mill Creek High School,1064,1103,1298,1400
Gwinnett County,Trickum Middle School,Gwinnett County – Trickum Middle School,534,739,567,463
Gwinnett County,Benefield Elementary School,Gwinnett County – Benefield Elementary School,54,71,30,75
Gwinnett County,Centerville Elementary School,Gwinnett County – Centerville Elementary School,69,75,120,74
Gwinnett County,Parkview High School,Gwinnett County – Parkview High School,1214,1955,1816,1331
Gwinnett County,Brookwood High School,Gwinnett County – Brookwood High School,1641,1318,1513,1411
