SCHOOL_DISTRICT,SCHOOL_NAME,ENROLLMENT,ENROLLMENT_STATEMENT,STUDENTS_WITH_INCIDENTS,%_SWI,%_SWI_STATEMENT,TOTAL_INCIDENTS,TOTAL_INCIDENTS_STATEMENT,INCIDENTS_PER_STUDENT,INCIDENTS_PER_STUDENT_STATEMENT
Brooks County,All Schools,2391,Brooks County's enrollment is in the 41st percentile of all Georgia school systems.,359,15,Brooks County's percentage of students with discipline incidents is in the 49th percentile of all Georgia school systems.,854,Brooks County's total number of discipline incidents is in the 43rd percentile of all Georgia school systems.,0.357,Brooks County's incidents per student rate is in the 54th percentile of all Georgia school systems.
Bryan County,All Schools,8817,Bryan County's enrollment is in the 80th percentile of all Georgia school systems.,929,10.5,Bryan County's percentage of students with discipline incidents is in the 20th percentile of all Georgia school systems.,1977,Bryan County's total number of discipline incidents is in the 66th percentile of all Georgia school systems.,0.224,Bryan County's incidents per student rate is in the 25th percentile of all Georgia school systems.
Buford City,All Schools,4069,Buford City's enrollment is in the 61st percentile of all Georgia school systems.,330,8.1,Buford City's percentage of students with discipline incidents is in the 10th percentile of all Georgia school systems.,688,Buford City's total number of discipline incidents is in the 36th percentile of all Georgia school systems.,0.169,Buford City's incidents per student rate is in the 15th percentile of all Georgia school systems.
Bulloch County,All Schools,11219,Bulloch County's enrollment is in the 83rd percentile of all Georgia school systems.,1809,16.1,Bulloch County's percentage of students with discipline incidents is in the 56th percentile of all Georgia school systems.,4457,Bulloch County's total number of discipline incidents is in the 84th percentile of all Georgia school systems.,0.397,Bulloch County's incidents per student rate is in the 57th percentile of all Georgia school systems.
Burke County,All Schools,4693,Burke County's enrollment is in the 66th percentile of all Georgia school systems.,1277,27.2,Burke County's percentage of students with discipline incidents is in the 93rd percentile of all Georgia school systems.,4277,Burke County's total number of discipline incidents is in the 83rd percentile of all Georgia school systems.,0.911,Burke County's incidents per student rate is in the 95th percentile of all Georgia school systems.
Butts County,All Schools,3780,Butts County's enrollment is in the 59th percentile of all Georgia school systems.,910,24.1,Butts County's percentage of students with discipline incidents is in the 85th percentile of all Georgia school systems.,2640,Butts County's total number of discipline incidents is in the 74th percentile of all Georgia school systems.,0.698,Butts County's incidents per student rate is in the 89th percentile of all Georgia school systems.
Calhoun City,All Schools,3215,Calhoun City's enrollment is in the 49th percentile of all Georgia school systems.,288,9,Calhoun City's percentage of students with discipline incidents is in the 13rd percentile of all Georgia school systems.,516,Calhoun City's total number of discipline incidents is in the 27th percentile of all Georgia school systems.,0.16,Calhoun City's incidents per student rate is in the 14th percentile of all Georgia school systems.
Calhoun County,All Schools,688,Calhoun County's enrollment is in the 12th percentile of all Georgia school systems.,159,23.1,Calhoun County's percentage of students with discipline incidents is in the 82nd percentile of all Georgia school systems.,364,Calhoun County's total number of discipline incidents is in the 21st percentile of all Georgia school systems.,0.529,Calhoun County's incidents per student rate is in the 78th percentile of all Georgia school systems.
Camden County,All Schools,9709,Camden County's enrollment is in the 82nd percentile of all Georgia school systems.,1193,12.3,Camden County's percentage of students with discipline incidents is in the 30th percentile of all Georgia school systems.,2969,Camden County's total number of discipline incidents is in the 77th percentile of all Georgia school systems.,0.306,Camden County's incidents per student rate is in the 44th percentile of all Georgia school systems.
Candler County,All Schools,2378,Candler County's enrollment is in the 40th percentile of all Georgia school systems.,367,15.4,Candler County's percentage of students with discipline incidents is in the 52nd percentile of all Georgia school systems.,784,Candler County's total number of discipline incidents is in the 39th percentile of all Georgia school systems.,0.33,Candler County's incidents per student rate is in the 52nd percentile of all Georgia school systems.
Carroll County,All Schools,16314,Carroll County's enrollment is in the 89th percentile of all Georgia school systems.,2135,13.1,Carroll County's percentage of students with discipline incidents is in the 38th percentile of all Georgia school systems.,5213,Carroll County's total number of discipline incidents is in the 88th percentile of all Georgia school systems.,0.32,Carroll County's incidents per student rate is in the 48th percentile of all Georgia school systems.
Carrollton City,All Schools,5387,Carrollton City's enrollment is in the 70th percentile of all Georgia school systems.,671,12.5,Carrollton City's percentage of students with discipline incidents is in the 33rd percentile of all Georgia school systems.,1416,Carrollton City's total number of discipline incidents is in the 56th percentile of all Georgia school systems.,0.263,Carrollton City's incidents per student rate is in the 33rd percentile of all Georgia school systems.
Cartersville City,All Schools,4741,Cartersville City's enrollment is in the 67th percentile of all Georgia school systems.,631,13.3,Cartersville City's percentage of students with discipline incidents is in the 39th percentile of all Georgia school systems.,1684,Cartersville City's total number of discipline incidents is in the 61st percentile of all Georgia school systems.,0.355,Cartersville City's incidents per student rate is in the 53rd percentile of all Georgia school systems.
Catoosa County,All Schools,7638,Catoosa County's enrollment is in the 76th percentile of all Georgia school systems.,666,8.7,Catoosa County's percentage of students with discipline incidents is in the 11th percentile of all Georgia school systems.,1267,Catoosa County's total number of discipline incidents is in the 53rd percentile of all Georgia school systems.,0.166,Catoosa County's incidents per student rate is in the 14th percentile of all Georgia school systems.
Charlton County,All Schools,1826,Charlton County's enrollment is in the 32nd percentile of all Georgia school systems.,387,21.2,Charlton County's percentage of students with discipline incidents is in the 77th percentile of all Georgia school systems.,1035,Charlton County's total number of discipline incidents is in the 45th percentile of all Georgia school systems.,0.567,Charlton County's incidents per student rate is in the 81st percentile of all Georgia school systems.
Chatham County,All Schools,39454,Chatham County's enrollment is in the 95th percentile of all Georgia school systems.,4717,12,Chatham County's percentage of students with discipline incidents is in the 27th percentile of all Georgia school systems.,9294,Chatham County's total number of discipline incidents is in the 93rd percentile of all Georgia school systems.,0.236,Chatham County's incidents per student rate is in the 28th percentile of all Georgia school systems.
Chattahoochee County,All Schools,973,Chattahoochee County's enrollment is in the 17th percentile of all Georgia school systems.,238,24.5,Chattahoochee County's percentage of students with discipline incidents is in the 87th percentile of all Georgia school systems.,497,Chattahoochee County's total number of discipline incidents is in the 26th percentile of all Georgia school systems.,0.511,Chattahoochee County's incidents per student rate is in the 75th percentile of all Georgia school systems.
Chattooga County,All Schools,1429,Chattooga County's enrollment is in the 23rd percentile of all Georgia school systems.,176,12.3,Chattooga County's percentage of students with discipline incidents is in the 30th percentile of all Georgia school systems.,293,Chattooga County's total number of discipline incidents is in the 17th percentile of all Georgia school systems.,0.205,Chattooga County's incidents per student rate is in the 22nd percentile of all Georgia school systems.
Cherokee County,All Schools,43807,Cherokee County's enrollment is in the 96th percentile of all Georgia school systems.,4850,11.1,Cherokee County's percentage of students with discipline incidents is in the 23rd percentile of all Georgia school systems.,11979,Cherokee County's total number of discipline incidents is in the 93rd percentile of all Georgia school systems.,0.273,Cherokee County's incidents per student rate is in the 35th percentile of all Georgia school systems.
