SCHOOL_DISTRICT,SCHOOL_NAME,ENROLLMENT,ENROLLMENT_STATEMENT,STUDENTS_WITH_INCIDENTS,%_SWI,%_SWI_STATEMENT,TOTAL_INCIDENTS,TOTAL_INCIDENTS_STATEMENT,INCIDENTS_PER_STUDENT,INCIDENTS_PER_STUDENT_STATEMENT
Cobb County,Pickett's Mill Elementary,806,Pickett's Mill Elementary's enrollment is in the 54th percentile of all Georgia schools.,15,1.9,Pickett's Mill Elementary's percentage of students with discipline incidents is in the 4th percentile of all Georgia schools.,25,Pickett's Mill Elementary's total number of discipline incidents is in the 7th percentile of all Georgia schools.,0.031,Pickett's Mill Elementary's incidents per student rate is in the 4th percentile of all Georgia schools.
Cobb County,International Academy of Smyrna,1068,International Academy of Smyrna's enrollment is in the 76th percentile of all Georgia schools.,99,9.3,International Academy of Smyrna's percentage of students with discipline incidents is in the 43rd percentile of all Georgia schools.,185,International Academy of Smyrna's total number of discipline incidents is in the 54th percentile of all Georgia schools.,0.173,International Academy of Smyrna's incidents per student rate is in the 42nd percentile of all Georgia schools.
Cobb County,East Side Elementary School,1342,East Side Elementary School's enrollment is in the 87th percentile of all Georgia schools.,14,1,East Side Elementary School's percentage of students with discipline incidents is in the 0th percentile of all Georgia schools.,15,East Side Elementary School's total number of discipline incidents is in the 1st percentile of all Georgia schools.,0.011,East Side Elementary School's incidents per student rate is in the 0th percentile of all Georgia schools.
Cobb County,Clarkdale Elementary School,910,Clarkdale Elementary School's enrollment is in the 65th percentile of all Georgia schools.,27,3,Clarkdale Elementary School's percentage of students with discipline incidents is in the 12th percentile of all Georgia schools.,30,Clarkdale Elementary School's total number of discipline incidents is in the 10th percentile of all Georgia schools.,0.033,Clarkdale Elementary School's incidents per student rate is in the 5th percentile of all Georgia schools.
Cobb County,Mableton Elementary School,1222,Mableton Elementary School's enrollment is in the 83rd percentile of all Georgia schools.,129,10.6,Mableton Elementary School's percentage of students with discipline incidents is in the 48th percentile of all Georgia schools.,318,Mableton Elementary School's total number of discipline incidents is in the 68th percentile of all Georgia schools.,0.26,Mableton Elementary School's incidents per student rate is in the 54th percentile of all Georgia schools.
Cobb County,Birney Elementary School,1007,Birney Elementary School's enrollment is in the 72nd percentile of all Georgia schools.,129,12.8,Birney Elementary School's percentage of students with discipline incidents is in the 55th percentile of all Georgia schools.,281,Birney Elementary School's total number of discipline incidents is in the 65th percentile of all Georgia schools.,0.279,Birney Elementary School's incidents per student rate is in the 56th percentile of all Georgia schools.
Cobb County,Walton High School,2750,Walton High School's enrollment is in the 99th percentile of all Georgia schools.,87,3.2,Walton High School's percentage of students with discipline incidents is in the 14th percentile of all Georgia schools.,117,Walton High School's total number of discipline incidents is in the 40th percentile of all Georgia schools.,0.043,Walton High School's incidents per student rate is in the 10th percentile of all Georgia schools.
Cobb County,Mabry Middle School,902,Mabry Middle School's enrollment is in the 65th percentile of all Georgia schools.,118,13.1,Mabry Middle School's percentage of students with discipline incidents is in the 55th percentile of all Georgia schools.,233,Mabry Middle School's total number of discipline incidents is in the 60th percentile of all Georgia schools.,0.258,Mabry Middle School's incidents per student rate is in the 54th percentile of all Georgia schools.
Cobb County,Still Elementary School,815,Still Elementary School's enrollment is in the 55th percentile of all Georgia schools.,21,2.6,Still Elementary School's percentage of students with discipline incidents is in the 9th percentile of all Georgia schools.,49,Still Elementary School's total number of discipline incidents is in the 20th percentile of all Georgia schools.,0.06,Still Elementary School's incidents per student rate is in the 16th percentile of all Georgia schools.
Cobb County,McCleskey Middle School,716,McCleskey Middle School's enrollment is in the 42nd percentile of all Georgia schools.,145,20.3,McCleskey Middle School's percentage of students with discipline incidents is in the 74th percentile of all Georgia schools.,269,McCleskey Middle School's total number of discipline incidents is in the 64th percentile of all Georgia schools.,0.376,McCleskey Middle School's incidents per student rate is in the 66th percentile of all Georgia schools.
Cobb County,Garrison Mill Elementary School,695,Garrison Mill Elementary School's enrollment is in the 39th percentile of all Georgia schools.,13,1.9,Garrison Mill Elementary School's percentage of students with discipline incidents is in the 4th percentile of all Georgia schools.,23,Garrison Mill Elementary School's total number of discipline incidents is in the 6th percentile of all Georgia schools.,0.033,Garrison Mill Elementary School's incidents per student rate is in the 5th percentile of all Georgia schools.
Cobb County,Keheley Elementary School,541,Keheley Elementary School's enrollment is in the 20th percentile of all Georgia schools.,21,3.9,Keheley Elementary School's percentage of students with discipline incidents is in the 19th percentile of all Georgia schools.,36,Keheley Elementary School's total number of discipline incidents is in the 14th percentile of all Georgia schools.,0.067,Keheley Elementary School's incidents per student rate is in the 18th percentile of all Georgia schools.
Cobb County,Pope High School,2082,Pope High School's enrollment is in the 97th percentile of all Georgia schools.,169,8.1,Pope High School's percentage of students with discipline incidents is in the 39th percentile of all Georgia schools.,264,Pope High School's total number of discipline incidents is in the 64th percentile of all Georgia schools.,0.127,Pope High School's incidents per student rate is in the 34th percentile of all Georgia schools.
Cobb County,Baker Elementary School,852,Baker Elementary School's enrollment is in the 59th percentile of all Georgia schools.,20,2.3,Baker Elementary School's percentage of students with discipline incidents is in the 7th percentile of all Georgia schools.,29,Baker Elementary School's total number of discipline incidents is in the 9th percentile of all Georgia schools.,0.034,Baker Elementary School's incidents per student rate is in the 6th percentile of all Georgia schools.
Cobb County,Dowell Elementary School,1082,Dowell Elementary School's enrollment is in the 77th percentile of all Georgia schools.,79,7.3,Dowell Elementary School's percentage of students with discipline incidents is in the 36th percentile of all Georgia schools.,127,Dowell Elementary School's total number of discipline incidents is in the 42nd percentile of all Georgia schools.,0.117,Dowell Elementary School's incidents per student rate is in the 32nd percentile of all Georgia schools.
Cobb County,Varner Elementary School,806,Varner Elementary School's enrollment is in the 54th percentile of all Georgia schools.,71,8.8,Varner Elementary School's percentage of students with discipline incidents is in the 41st percentile of all Georgia schools.,127,Varner Elementary School's total number of discipline incidents is in the 42nd percentile of all Georgia schools.,0.158,Varner Elementary School's incidents per student rate is in the 40th percentile of all Georgia schools.
Cobb County,Harrison High School,2086,Harrison High School's enrollment is in the 97th percentile of all Georgia schools.,169,8.1,Harrison High School's percentage of students with discipline incidents is in the 39th percentile of all Georgia schools.,270,Harrison High School's total number of discipline incidents is in the 64th percentile of all Georgia schools.,0.129,Harrison High School's incidents per student rate is in the 35th percentile of all Georgia schools.
Cobb County,Hayes Elementary School,976,Hayes Elementary School's enrollment is in the 70th percentile of all Georgia schools.,54,5.5,Hayes Elementary School's percentage of students with discipline incidents is in the 27th percentile of all Georgia schools.,102,Hayes Elementary School's total number of discipline incidents is in the 38th percentile of all Georgia schools.,0.105,Hayes Elementary School's incidents per student rate is in the 28th percentile of all Georgia schools.
Cobb County,Vaughan Elementary School,740,Vaughan Elementary School's enrollment is in the 45th percentile of all Georgia schools.,20,2.7,Vaughan Elementary School's percentage of students with discipline incidents is in the 10th percentile of all Georgia schools.,35,Vaughan Elementary School's total number of discipline incidents is in the 13rd percentile of all Georgia schools.,0.047,Vaughan Elementary School's incidents per student rate is in the 11th percentile of all Georgia schools.
Cobb County,Chalker Elementary School,684,Chalker Elementary School's enrollment is in the 38th percentile of all Georgia schools.,16,2.3,Chalker Elementary School's percentage of students with discipline incidents is in the 7th percentile of all Georgia schools.,25,Chalker Elementary School's total number of discipline incidents is in the 7th percentile of all Georgia schools.,0.037,Chalker Elementary School's incidents per student rate is in the 7th percentile of all Georgia schools.
Cobb County,Nickajack Elementary School,1232,Nickajack Elementary School's enrollment is in the 83rd percentile of all Georgia schools.,68,5.5,Nickajack Elementary School's percentage of students with discipline incidents is in the 27th percentile of all Georgia schools.,195,Nickajack Elementary School's total number of discipline incidents is in the 56th percentile of all Georgia schools.,0.158,Nickajack Elementary School's incidents per student rate is in the 40th percentile of all Georgia schools.
Cobb County,Lindley Middle School,1191,Lindley Middle School's enrollment is in the 82nd percentile of all Georgia schools.,331,27.8,Lindley Middle School's percentage of students with discipline incidents is in the 87th percentile of all Georgia schools.,762,Lindley Middle School's total number of discipline incidents is in the 89th percentile of all Georgia schools.,0.64,Lindley Middle School's incidents per student rate is in the 84th percentile of all Georgia schools.
Cobb County,Kemp Elementary School,991,Kemp Elementary School's enrollment is in the 71st percentile of all Georgia schools.,16,1.6,Kemp Elementary School's percentage of students with discipline incidents is in the 3rd percentile of all Georgia schools.,36,Kemp Elementary School's total number of discipline incidents is in the 14th percentile of all Georgia schools.,0.036,Kemp Elementary School's incidents per student rate is in the 7th percentile of all Georgia schools.
Cobb County,Pitner Elementary School,1076,Pitner Elementary School's enrollment is in the 77th percentile of all Georgia schools.,55,5.1,Pitner Elementary School's percentage of students with discipline incidents is in the 25th percentile of all Georgia schools.,134,Pitner Elementary School's total number of discipline incidents is in the 44th percentile of all Georgia schools.,0.125,Pitner Elementary School's incidents per student rate is in the 34th percentile of all Georgia schools.
Cobb County,Austell Elementary School,617,Austell Elementary School's enrollment is in the 28th percentile of all Georgia schools.,49,7.9,Austell Elementary School's percentage of students with discipline incidents is in the 38th percentile of all Georgia schools.,75,Austell Elementary School's total number of discipline incidents is in the 30th percentile of all Georgia schools.,0.122,Austell Elementary School's incidents per student rate is in the 33rd percentile of all Georgia schools.
Cobb County,Allatoona High School,1790,Allatoona High School's enrollment is in the 94th percentile of all Georgia schools.,165,9.2,Allatoona High School's percentage of students with discipline incidents is in the 42nd percentile of all Georgia schools.,287,Allatoona High School's total number of discipline incidents is in the 66th percentile of all Georgia schools.,0.16,Allatoona High School's incidents per student rate is in the 40th percentile of all Georgia schools.
Cobb County,Smyrna Elementary School,1127,Smyrna Elementary School's enrollment is in the 79th percentile of all Georgia schools.,46,4.1,Smyrna Elementary School's percentage of students with discipline incidents is in the 20th percentile of all Georgia schools.,79,Smyrna Elementary School's total number of discipline incidents is in the 31st percentile of all Georgia schools.,0.07,Smyrna Elementary School's incidents per student rate is in the 19th percentile of all Georgia schools.
Cobb County,Kincaid Elementary School,741,Kincaid Elementary School's enrollment is in the 45th percentile of all Georgia schools.,11,1.5,Kincaid Elementary School's percentage of students with discipline incidents is in the 2nd percentile of all Georgia schools.,18,Kincaid Elementary School's total number of discipline incidents is in the 2nd percentile of all Georgia schools.,0.024,Kincaid Elementary School's incidents per student rate is in the 3rd percentile of all Georgia schools.
Cobb County,Dodgen Middle School,1304,Dodgen Middle School's enrollment is in the 86th percentile of all Georgia schools.,106,8.1,Dodgen Middle School's percentage of students with discipline incidents is in the 39th percentile of all Georgia schools.,186,Dodgen Middle School's total number of discipline incidents is in the 54th percentile of all Georgia schools.,0.143,Dodgen Middle School's incidents per student rate is in the 37th percentile of all Georgia schools.
Cobb County,Mount Bethel Elementary School,1160,Mount Bethel Elementary School's enrollment is in the 81st percentile of all Georgia schools.,14,1.2,Mount Bethel Elementary School's percentage of students with discipline incidents is in the 1st percentile of all Georgia schools.,19,Mount Bethel Elementary School's total number of discipline incidents is in the 3rd percentile of all Georgia schools.,0.016,Mount Bethel Elementary School's incidents per student rate is in the 1st percentile of all Georgia schools.
Cobb County,Pine Mountain Middle School,640,Pine Mountain Middle School's enrollment is in the 32nd percentile of all Georgia schools.,126,19.7,Pine Mountain Middle School's percentage of students with discipline incidents is in the 72nd percentile of all Georgia schools.,354,Pine Mountain Middle School's total number of discipline incidents is in the 71st percentile of all Georgia schools.,0.553,Pine Mountain Middle School's incidents per student rate is in the 79th percentile of all Georgia schools.
Cobb County,Dickerson Middle School,1309,Dickerson Middle School's enrollment is in the 86th percentile of all Georgia schools.,96,7.3,Dickerson Middle School's percentage of students with discipline incidents is in the 36th percentile of all Georgia schools.,135,Dickerson Middle School's total number of discipline incidents is in the 44th percentile of all Georgia schools.,0.103,Dickerson Middle School's incidents per student rate is in the 28th percentile of all Georgia schools.
Cobb County,Lewis Elementary School,656,Lewis Elementary School's enrollment is in the 34th percentile of all Georgia schools.,21,3.2,Lewis Elementary School's percentage of students with discipline incidents is in the 14th percentile of all Georgia schools.,30,Lewis Elementary School's total number of discipline incidents is in the 10th percentile of all Georgia schools.,0.046,Lewis Elementary School's incidents per student rate is in the 11th percentile of all Georgia schools.
Cobb County,Mountain View Elementary School,795,Mountain View Elementary School's enrollment is in the 52nd percentile of all Georgia schools.,16,2,Mountain View Elementary School's percentage of students with discipline incidents is in the 5th percentile of all Georgia schools.,26,Mountain View Elementary School's total number of discipline incidents is in the 7th percentile of all Georgia schools.,0.033,Mountain View Elementary School's incidents per student rate is in the 5th percentile of all Georgia schools.
Cobb County,Addison Elementary School,646,Addison Elementary School's enrollment is in the 33rd percentile of all Georgia schools.,14,2.2,Addison Elementary School's percentage of students with discipline incidents is in the 6th percentile of all Georgia schools.,28,Addison Elementary School's total number of discipline incidents is in the 9th percentile of all Georgia schools.,0.043,Addison Elementary School's incidents per student rate is in the 10th percentile of all Georgia schools.
Cobb County,Campbell Middle School,1600,Campbell Middle School's enrollment is in the 92nd percentile of all Georgia schools.,418,26.1,Campbell Middle School's percentage of students with discipline incidents is in the 85th percentile of all Georgia schools.,1096,Campbell Middle School's total number of discipline incidents is in the 95th percentile of all Georgia schools.,0.685,Campbell Middle School's incidents per student rate is in the 86th percentile of all Georgia schools.
Cobb County,Shallowford Falls Elementary School,686,Shallowford Falls Elementary School's enrollment is in the 38th percentile of all Georgia schools.,13,1.9,Shallowford Falls Elementary School's percentage of students with discipline incidents is in the 4th percentile of all Georgia schools.,36,Shallowford Falls Elementary School's total number of discipline incidents is in the 14th percentile of all Georgia schools.,0.052,Shallowford Falls Elementary School's incidents per student rate is in the 13rd percentile of all Georgia schools.
Cobb County,Ford Elementary School,831,Ford Elementary School's enrollment is in the 56th percentile of all Georgia schools.,11,1.3,Ford Elementary School's percentage of students with discipline incidents is in the 1st percentile of all Georgia schools.,22,Ford Elementary School's total number of discipline incidents is in the 5th percentile of all Georgia schools.,0.026,Ford Elementary School's incidents per student rate is in the 3rd percentile of all Georgia schools.
Cobb County,Smitha Middle School,1123,Smitha Middle School's enrollment is in the 79th percentile of all Georgia schools.,422,37.6,Smitha Middle School's percentage of students with discipline incidents is in the 96th percentile of all Georgia schools.,1291,Smitha Middle School's total number of discipline incidents is in the 97th percentile of all Georgia schools.,1.15,Smitha Middle School's incidents per student rate is in the 96th percentile of all Georgia schools.
Cobb County,Frey Elementary School,848,Frey Elementary School's enrollment is in the 59th percentile of all Georgia schools.,30,3.5,Frey Elementary School's percentage of students with discipline incidents is in the 16th percentile of all Georgia schools.,56,Frey Elementary School's total number of discipline incidents is in the 23rd percentile of all Georgia schools.,0.066,Frey Elementary School's incidents per student rate is in the 18th percentile of all Georgia schools.
Cobb County,Cheatham Hill Elementary School,1225,Cheatham Hill Elementary School's enrollment is in the 83rd percentile of all Georgia schools.,27,2.2,Cheatham Hill Elementary School's percentage of students with discipline incidents is in the 6th percentile of all Georgia schools.,43,Cheatham Hill Elementary School's total number of discipline incidents is in the 17th percentile of all Georgia schools.,0.035,Cheatham Hill Elementary School's incidents per student rate is in the 6th percentile of all Georgia schools.
Cobb County,Durham Middle School,1097,Durham Middle School's enrollment is in the 78th percentile of all Georgia schools.,135,12.3,Durham Middle School's percentage of students with discipline incidents is in the 53rd percentile of all Georgia schools.,215,Durham Middle School's total number of discipline incidents is in the 57th percentile of all Georgia schools.,0.196,Durham Middle School's incidents per student rate is in the 45th percentile of all Georgia schools.
Cobb County,Acworth Intermediate School,780,Acworth Intermediate School's enrollment is in the 50th percentile of all Georgia schools.,59,7.6,Acworth Intermediate School's percentage of students with discipline incidents is in the 37th percentile of all Georgia schools.,100,Acworth Intermediate School's total number of discipline incidents is in the 37th percentile of all Georgia schools.,0.128,Acworth Intermediate School's incidents per student rate is in the 35th percentile of all Georgia schools.
Cobb County,Kennesaw Charter School,885,Kennesaw Charter School's enrollment is in the 63rd percentile of all Georgia schools.,55,6.2,Kennesaw Charter School's percentage of students with discipline incidents is in the 31st percentile of all Georgia schools.,93,Kennesaw Charter School's total number of discipline incidents is in the 35th percentile of all Georgia schools.,0.105,Kennesaw Charter School's incidents per student rate is in the 28th percentile of all Georgia schools.
Cobb County,Riverside Primary School,763,Riverside Primary School's enrollment is in the 48th percentile of all Georgia schools.,22,2.9,Riverside Primary School's percentage of students with discipline incidents is in the 11th percentile of all Georgia schools.,42,Riverside Primary School's total number of discipline incidents is in the 17th percentile of all Georgia schools.,0.055,Riverside Primary School's incidents per student rate is in the 14th percentile of all Georgia schools.
Cobb County,Lindley 6th Grade Academy,583,Lindley 6th Grade Academy's enrollment is in the 25th percentile of all Georgia schools.,138,23.7,Lindley 6th Grade Academy's percentage of students with discipline incidents is in the 81st percentile of all Georgia schools.,292,Lindley 6th Grade Academy's total number of discipline incidents is in the 66th percentile of all Georgia schools.,0.501,Lindley 6th Grade Academy's incidents per student rate is in the 76th percentile of all Georgia schools.
Cobb County,Sprayberry High School,1831,Sprayberry High School's enrollment is in the 94th percentile of all Georgia schools.,402,22,Sprayberry High School's percentage of students with discipline incidents is in the 77th percentile of all Georgia schools.,947,Sprayberry High School's total number of discipline incidents is in the 93rd percentile of all Georgia schools.,0.517,Sprayberry High School's incidents per student rate is in the 77th percentile of all Georgia schools.
Cobb County,Murdock Elementary School,1050,Murdock Elementary School's enrollment is in the 75th percentile of all Georgia schools.,25,2.4,Murdock Elementary School's percentage of students with discipline incidents is in the 8th percentile of all Georgia schools.,37,Murdock Elementary School's total number of discipline incidents is in the 14th percentile of all Georgia schools.,0.035,Murdock Elementary School's incidents per student rate is in the 6th percentile of all Georgia schools.
Cobb County,Rocky Mount Elementary School,610,Rocky Mount Elementary School's enrollment is in the 28th percentile of all Georgia schools.,12,2,Rocky Mount Elementary School's percentage of students with discipline incidents is in the 5th percentile of all Georgia schools.,32,Rocky Mount Elementary School's total number of discipline incidents is in the 11th percentile of all Georgia schools.,0.052,Rocky Mount Elementary School's incidents per student rate is in the 13rd percentile of all Georgia schools.
Cobb County,Lassiter High School,2264,Lassiter High School's enrollment is in the 97th percentile of all Georgia schools.,126,5.6,Lassiter High School's percentage of students with discipline incidents is in the 27th percentile of all Georgia schools.,197,Lassiter High School's total number of discipline incidents is in the 56th percentile of all Georgia schools.,0.087,Lassiter High School's incidents per student rate is in the 24th percentile of all Georgia schools.
Cobb County,Davis Elementary School,587,Davis Elementary School's enrollment is in the 26th percentile of all Georgia schools.,11,1.9,Davis Elementary School's percentage of students with discipline incidents is in the 4th percentile of all Georgia schools.,19,Davis Elementary School's total number of discipline incidents is in the 3rd percentile of all Georgia schools.,0.032,Davis Elementary School's incidents per student rate is in the 5th percentile of all Georgia schools.
Cobb County,Simpson Middle School,999,Simpson Middle School's enrollment is in the 72nd percentile of all Georgia schools.,166,16.6,Simpson Middle School's percentage of students with discipline incidents is in the 64th percentile of all Georgia schools.,436,Simpson Middle School's total number of discipline incidents is in the 76th percentile of all Georgia schools.,0.436,Simpson Middle School's incidents per student rate is in the 71st percentile of all Georgia schools.
Cobb County,Nicholson Elementary School,582,Nicholson Elementary School's enrollment is in the 25th percentile of all Georgia schools.,21,3.6,Nicholson Elementary School's percentage of students with discipline incidents is in the 17th percentile of all Georgia schools.,42,Nicholson Elementary School's total number of discipline incidents is in the 17th percentile of all Georgia schools.,0.072,Nicholson Elementary School's incidents per student rate is in the 20th percentile of all Georgia schools.
Cobb County,Hightower Trail Middle School,1150,Hightower Trail Middle School's enrollment is in the 80th percentile of all Georgia schools.,54,4.7,Hightower Trail Middle School's percentage of students with discipline incidents is in the 23rd percentile of all Georgia schools.,84,Hightower Trail Middle School's total number of discipline incidents is in the 33rd percentile of all Georgia schools.,0.073,Hightower Trail Middle School's incidents per student rate is in the 20th percentile of all Georgia schools.
Cobb County,Green Acres Elementary School,795,Green Acres Elementary School's enrollment is in the 52nd percentile of all Georgia schools.,49,6.2,Green Acres Elementary School's percentage of students with discipline incidents is in the 31st percentile of all Georgia schools.,65,Green Acres Elementary School's total number of discipline incidents is in the 26th percentile of all Georgia schools.,0.082,Green Acres Elementary School's incidents per student rate is in the 23rd percentile of all Georgia schools.
Cobb County,Sanders Elementary School,864,Sanders Elementary School's enrollment is in the 61st percentile of all Georgia schools.,103,11.9,Sanders Elementary School's percentage of students with discipline incidents is in the 52nd percentile of all Georgia schools.,194,Sanders Elementary School's total number of discipline incidents is in the 55th percentile of all Georgia schools.,0.225,Sanders Elementary School's incidents per student rate is in the 50th percentile of all Georgia schools.
Cobb County,Blackwell Elementary School,811,Blackwell Elementary School's enrollment is in the 54th percentile of all Georgia schools.,21,2.6,Blackwell Elementary School's percentage of students with discipline incidents is in the 9th percentile of all Georgia schools.,39,Blackwell Elementary School's total number of discipline incidents is in the 15th percentile of all Georgia schools.,0.048,Blackwell Elementary School's incidents per student rate is in the 11th percentile of all Georgia schools.
Cobb County,Hendricks Elementary School,654,Hendricks Elementary School's enrollment is in the 34th percentile of all Georgia schools.,36,5.5,Hendricks Elementary School's percentage of students with discipline incidents is in the 27th percentile of all Georgia schools.,80,Hendricks Elementary School's total number of discipline incidents is in the 32nd percentile of all Georgia schools.,0.122,Hendricks Elementary School's incidents per student rate is in the 33rd percentile of all Georgia schools.
Cobb County,Barber Middle School,956,Barber Middle School's enrollment is in the 69th percentile of all Georgia schools.,180,18.8,Barber Middle School's percentage of students with discipline incidents is in the 70th percentile of all Georgia schools.,410,Barber Middle School's total number of discipline incidents is in the 75th percentile of all Georgia schools.,0.429,Barber Middle School's incidents per student rate is in the 71st percentile of all Georgia schools.
Cobb County,Tapp Middle School,925,Tapp Middle School's enrollment is in the 66th percentile of all Georgia schools.,301,32.5,Tapp Middle School's percentage of students with discipline incidents is in the 93rd percentile of all Georgia schools.,999,Tapp Middle School's total number of discipline incidents is in the 94th percentile of all Georgia schools.,1.08,Tapp Middle School's incidents per student rate is in the 95th percentile of all Georgia schools.
Cobb County,Sope Creek Elementary School,1232,Sope Creek Elementary School's enrollment is in the 83rd percentile of all Georgia schools.,30,2.4,Sope Creek Elementary School's percentage of students with discipline incidents is in the 8th percentile of all Georgia schools.,51,Sope Creek Elementary School's total number of discipline incidents is in the 21st percentile of all Georgia schools.,0.041,Sope Creek Elementary School's incidents per student rate is in the 9th percentile of all Georgia schools.
Cobb County,Powder Springs Elementary School,946,Powder Springs Elementary School's enrollment is in the 68th percentile of all Georgia schools.,88,9.3,Powder Springs Elementary School's percentage of students with discipline incidents is in the 43rd percentile of all Georgia schools.,187,Powder Springs Elementary School's total number of discipline incidents is in the 54th percentile of all Georgia schools.,0.198,Powder Springs Elementary School's incidents per student rate is in the 46th percentile of all Georgia schools.
Cobb County,Lost Mountain Middle School,1127,Lost Mountain Middle School's enrollment is in the 79th percentile of all Georgia schools.,160,14.2,Lost Mountain Middle School's percentage of students with discipline incidents is in the 57th percentile of all Georgia schools.,290,Lost Mountain Middle School's total number of discipline incidents is in the 66th percentile of all Georgia schools.,0.257,Lost Mountain Middle School's incidents per student rate is in the 54th percentile of all Georgia schools.
Cobb County,Cooper Middle School,1085,Cooper Middle School's enrollment is in the 77th percentile of all Georgia schools.,295,27.2,Cooper Middle School's percentage of students with discipline incidents is in the 86th percentile of all Georgia schools.,802,Cooper Middle School's total number of discipline incidents is in the 90th percentile of all Georgia schools.,0.739,Cooper Middle School's incidents per student rate is in the 88th percentile of all Georgia schools.
Cobb County,Big Shanty Elementary School,671,Big Shanty Elementary School's enrollment is in the 36th percentile of all Georgia schools.,38,5.7,Big Shanty Elementary School's percentage of students with discipline incidents is in the 28th percentile of all Georgia schools.,75,Big Shanty Elementary School's total number of discipline incidents is in the 30th percentile of all Georgia schools.,0.112,Big Shanty Elementary School's incidents per student rate is in the 31st percentile of all Georgia schools.
Cobb County,McClure Middle School,1297,McClure Middle School's enrollment is in the 85th percentile of all Georgia schools.,142,10.9,McClure Middle School's percentage of students with discipline incidents is in the 49th percentile of all Georgia schools.,343,McClure Middle School's total number of discipline incidents is in the 70th percentile of all Georgia schools.,0.264,McClure Middle School's incidents per student rate is in the 55th percentile of all Georgia schools.
Cobb County,Bryant Elementary School,1178,Bryant Elementary School's enrollment is in the 81st percentile of all Georgia schools.,145,12.3,Bryant Elementary School's percentage of students with discipline incidents is in the 53rd percentile of all Georgia schools.,327,Bryant Elementary School's total number of discipline incidents is in the 69th percentile of all Georgia schools.,0.278,Bryant Elementary School's incidents per student rate is in the 56th percentile of all Georgia schools.
Cobb County,Palmer Middle School,1006,Palmer Middle School's enrollment is in the 72nd percentile of all Georgia schools.,172,17.1,Palmer Middle School's percentage of students with discipline incidents is in the 66th percentile of all Georgia schools.,329,Palmer Middle School's total number of discipline incidents is in the 69th percentile of all Georgia schools.,0.327,Palmer Middle School's incidents per student rate is in the 62nd percentile of all Georgia schools.
Cobb County,Lovinggood Middle School,1474,Lovinggood Middle School's enrollment is in the 90th percentile of all Georgia schools.,162,11,Lovinggood Middle School's percentage of students with discipline incidents is in the 49th percentile of all Georgia schools.,273,Lovinggood Middle School's total number of discipline incidents is in the 65th percentile of all Georgia schools.,0.185,Lovinggood Middle School's incidents per student rate is in the 44th percentile of all Georgia schools.
Cobb County,Hillgrove High School,2533,Hillgrove High School's enrollment is in the 98th percentile of all Georgia schools.,388,15.3,Hillgrove High School's percentage of students with discipline incidents is in the 61st percentile of all Georgia schools.,726,Hillgrove High School's total number of discipline incidents is in the 88th percentile of all Georgia schools.,0.287,Hillgrove High School's incidents per student rate is in the 56th percentile of all Georgia schools.
Cobb County,Campbell High School,3028,Campbell High School's enrollment is in the 99th percentile of all Georgia schools.,616,20.3,Campbell High School's percentage of students with discipline incidents is in the 74th percentile of all Georgia schools.,1438,Campbell High School's total number of discipline incidents is in the 98th percentile of all Georgia schools.,0.475,Campbell High School's incidents per student rate is in the 75th percentile of all Georgia schools.
Cobb County,East Cobb Middle School,1383,East Cobb Middle School's enrollment is in the 88th percentile of all Georgia schools.,325,23.5,East Cobb Middle School's percentage of students with discipline incidents is in the 80th percentile of all Georgia schools.,831,East Cobb Middle School's total number of discipline incidents is in the 91st percentile of all Georgia schools.,0.601,East Cobb Middle School's incidents per student rate is in the 82nd percentile of all Georgia schools.
Cobb County,Garrett Middle School,1005,Garrett Middle School's enrollment is in the 72nd percentile of all Georgia schools.,294,29.3,Garrett Middle School's percentage of students with discipline incidents is in the 90th percentile of all Georgia schools.,852,Garrett Middle School's total number of discipline incidents is in the 91st percentile of all Georgia schools.,0.848,Garrett Middle School's incidents per student rate is in the 92nd percentile of all Georgia schools.
Cobb County,McEachern High School,2526,McEachern High School's enrollment is in the 98th percentile of all Georgia schools.,636,25.2,McEachern High School's percentage of students with discipline incidents is in the 84th percentile of all Georgia schools.,1507,McEachern High School's total number of discipline incidents is in the 98th percentile of all Georgia schools.,0.597,McEachern High School's incidents per student rate is in the 82nd percentile of all Georgia schools.
Cobb County,Norton Park Elementary School,1076,Norton Park Elementary School's enrollment is in the 77th percentile of all Georgia schools.,60,5.6,Norton Park Elementary School's percentage of students with discipline incidents is in the 27th percentile of all Georgia schools.,105,Norton Park Elementary School's total number of discipline incidents is in the 38th percentile of all Georgia schools.,0.098,Norton Park Elementary School's incidents per student rate is in the 27th percentile of all Georgia schools.
Cobb County,Powers Ferry Elementary School,518,Powers Ferry Elementary School's enrollment is in the 18th percentile of all Georgia schools.,30,5.8,Powers Ferry Elementary School's percentage of students with discipline incidents is in the 28th percentile of all Georgia schools.,48,Powers Ferry Elementary School's total number of discipline incidents is in the 20th percentile of all Georgia schools.,0.093,Powers Ferry Elementary School's incidents per student rate is in the 26th percentile of all Georgia schools.
Cobb County,Wheeler High School,2356,Wheeler High School's enrollment is in the 98th percentile of all Georgia schools.,407,17.3,Wheeler High School's percentage of students with discipline incidents is in the 66th percentile of all Georgia schools.,1115,Wheeler High School's total number of discipline incidents is in the 96th percentile of all Georgia schools.,0.473,Wheeler High School's incidents per student rate is in the 74th percentile of all Georgia schools.
