SCHOOL_DISTRICT,SCHOOL_NAME,SYS_SCH,SUBGROUP_CATEGORY,SUBGROUP,ENROLLMENT,%_OVERALL_POP,%_DISC_POP,OVER/UNDER,PPTS,CUM_%_OVERALL,CUM_%_DISC
Morgan County,All Schools,Morgan County – All Schools,Disability Status,Students Without Disability,3089,87.4,76.8,underrepresented,10.6,87.4,76.8
Morgan County,All Schools,Morgan County – All Schools,Disability Status,Students with Disability,3089,12.6,23.2,overrepresented,10.6,100,100
