SYS_SCH,ENROLLMENT,ENROLLMENT_PCT,ENROLLMENT_STATEMENT,STUDENTS_WITH_INCIDENTS,%_SWI,%_SWI_PCT,%_SWI_STATEMENT,TOTAL_INCIDENTS,TOTAL_INCIDENTS_PCT,TOTAL_INCIDENTS_STATEMENT,INCIDENTS_PER_STUDENT,INCIDENTS_PER_STUDENT_PCT,INCIDENTS_PER_STUDENT_STATEMENT
Berrien County – All Schools,3435,54,Berrien County's enrollment is in the 54th percentile of all Georgia school systems.,514,15,49,Berrien County's percentage of students with discipline incidents is in the 49th percentile of all Georgia school systems.,1263,52,Berrien County's total number of discipline incidents is in the 52nd percentile of all Georgia school systems.,0.368,55,Berrien County's incidents per student rate is in the 55th percentile of all Georgia school systems.
Bibb County – All Schools,27254,92,Bibb County's enrollment is in the 92nd percentile of all Georgia school systems.,6472,23.7,85,Bibb County's percentage of students with discipline incidents is in the 85th percentile of all Georgia school systems.,17934,96,Bibb County's total number of discipline incidents is in the 96th percentile of all Georgia school systems.,0.658,86,Bibb County's incidents per student rate is in the 86th percentile of all Georgia school systems.
Bleckley County – All Schools,2682,44,Bleckley County's enrollment is in the 44th percentile of all Georgia school systems.,336,12.5,33,Bleckley County's percentage of students with discipline incidents is in the 33rd percentile of all Georgia school systems.,745,38,Bleckley County's total number of discipline incidents is in the 38th percentile of all Georgia school systems.,0.278,36,Bleckley County's incidents per student rate is in the 36th percentile of all Georgia school systems.
Brantley County – All Schools,3784,59,Brantley County's enrollment is in the 59th percentile of all Georgia school systems.,395,10.4,19,Brantley County's percentage of students with discipline incidents is in the 19th percentile of all Georgia school systems.,808,40,Brantley County's total number of discipline incidents is in the 40th percentile of all Georgia school systems.,0.214,22,Brantley County's incidents per student rate is in the 22nd percentile of all Georgia school systems.
Bremen City – All Schools,1599,28,Bremen City's enrollment is in the 28th percentile of all Georgia school systems.,107,6.7,8,Bremen City's percentage of students with discipline incidents is in the 8th percentile of all Georgia school systems.,144,12,Bremen City's total number of discipline incidents is in the 12th percentile of all Georgia school systems.,0.09,7,Bremen City's incidents per student rate is in the 7th percentile of all Georgia school systems.
Brooks County – All Schools,2391,41,Brooks County's enrollment is in the 41st percentile of all Georgia school systems.,359,15,49,Brooks County's percentage of students with discipline incidents is in the 49th percentile of all Georgia school systems.,854,43,Brooks County's total number of discipline incidents is in the 43rd percentile of all Georgia school systems.,0.357,54,Brooks County's incidents per student rate is in the 54th percentile of all Georgia school systems.
Bryan County – All Schools,8817,80,Bryan County's enrollment is in the 80th percentile of all Georgia school systems.,929,10.5,20,Bryan County's percentage of students with discipline incidents is in the 20th percentile of all Georgia school systems.,1977,66,Bryan County's total number of discipline incidents is in the 66th percentile of all Georgia school systems.,0.224,25,Bryan County's incidents per student rate is in the 25th percentile of all Georgia school systems.
Buford City – All Schools,4069,61,Buford City's enrollment is in the 61st percentile of all Georgia school systems.,330,8.1,10,Buford City's percentage of students with discipline incidents is in the 10th percentile of all Georgia school systems.,688,36,Buford City's total number of discipline incidents is in the 36th percentile of all Georgia school systems.,0.169,15,Buford City's incidents per student rate is in the 15th percentile of all Georgia school systems.
Bulloch County – All Schools,11219,83,Bulloch County's enrollment is in the 83rd percentile of all Georgia school systems.,1809,16.1,56,Bulloch County's percentage of students with discipline incidents is in the 56th percentile of all Georgia school systems.,4457,84,Bulloch County's total number of discipline incidents is in the 84th percentile of all Georgia school systems.,0.397,57,Bulloch County's incidents per student rate is in the 57th percentile of all Georgia school systems.
Burke County – All Schools,4693,66,Burke County's enrollment is in the 66th percentile of all Georgia school systems.,1277,27.2,93,Burke County's percentage of students with discipline incidents is in the 93rd percentile of all Georgia school systems.,4277,83,Burke County's total number of discipline incidents is in the 83rd percentile of all Georgia school systems.,0.911,95,Burke County's incidents per student rate is in the 95th percentile of all Georgia school systems.
Butts County – All Schools,3780,59,Butts County's enrollment is in the 59th percentile of all Georgia school systems.,910,24.1,85,Butts County's percentage of students with discipline incidents is in the 85th percentile of all Georgia school systems.,2640,74,Butts County's total number of discipline incidents is in the 74th percentile of all Georgia school systems.,0.698,89,Butts County's incidents per student rate is in the 89th percentile of all Georgia school systems.
Calhoun City – All Schools,3215,49,Calhoun City's enrollment is in the 49th percentile of all Georgia school systems.,288,9,13,Calhoun City's percentage of students with discipline incidents is in the 13rd percentile of all Georgia school systems.,516,27,Calhoun City's total number of discipline incidents is in the 27th percentile of all Georgia school systems.,0.16,14,Calhoun City's incidents per student rate is in the 14th percentile of all Georgia school systems.
